                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.4277,                 1.1319,                0.88342,                 0.9638,                0.90601,                0.95986,                 0.9081,                0.36316,                0.72499,                0.86077,             0.00047492,             0.00047492,             0.00047492
                      2,                0.43188,                0.69164,                0.87935,                0.89354,                0.79094,                0.93283,                0.86744,                0.38609,                0.68351,                0.86639,             0.00092771,             0.00092771,             0.00092771
                      3,                0.43822,                0.57402,                0.87788,                0.93613,                0.94176,                0.97466,                0.90946,                0.38856,                0.47602,                0.87286,              0.0013569,              0.0013569,              0.0013569
                      4,                0.42813,                0.50436,                 0.8805,                0.94077,                0.95966,                  0.983,                0.93463,                 0.3559,                0.38601,                0.86319,              0.0013229,              0.0013229,              0.0013229
                      5,                0.41307,                0.46471,                 0.8745,                 0.9624,                0.93051,                0.98219,                0.93566,                0.33775,                0.37105,                0.85343,              0.0012875,              0.0012875,              0.0012875
                      6,                0.39828,                0.42909,                0.87119,                0.87902,                0.91118,                0.97039,                 0.9052,                0.38184,                0.47611,                0.86767,              0.0012522,              0.0012522,              0.0012522
                      7,                0.39051,                0.40653,                0.86964,                0.98049,                0.94901,                0.98466,                0.94636,                0.32349,                0.29742,                 0.8472,              0.0012168,              0.0012168,              0.0012168
                      8,                0.39134,                0.39171,                0.86912,                 0.9762,                0.95195,                0.97922,                0.93609,                0.33076,                0.37258,                0.85169,              0.0011814,              0.0011814,              0.0011814
                      9,                0.37877,                0.38004,                0.86585,                0.97277,                0.97103,                0.99044,                0.94222,                0.33518,                0.27545,                0.84996,              0.0011461,              0.0011461,              0.0011461
                     10,                0.37462,                0.36626,                0.86259,                0.96843,                0.97906,                0.98974,                0.94571,                0.32259,                0.26479,                0.84883,              0.0011107,              0.0011107,              0.0011107
                     11,                0.37094,                0.35778,                0.86372,                0.96526,                 0.9749,                0.99067,                0.95026,                0.32062,                0.25628,                0.84682,              0.0010753,              0.0010753,              0.0010753
                     12,                0.36796,                0.34134,                0.86391,                 0.9655,                0.97178,                0.98777,                0.94715,                 0.3096,                0.25977,                0.84575,                0.00104,                0.00104,                0.00104
                     13,                0.36603,                0.34333,                0.86152,                0.96887,                0.98111,                0.99015,                 0.9526,                0.30288,                0.25588,                0.84102,              0.0010046,              0.0010046,              0.0010046
                     14,                0.35919,                0.33274,                 0.8614,                0.98242,                0.95868,                0.99005,                0.95478,                0.29837,                0.25253,                0.84162,             0.00096922,             0.00096922,             0.00096922
                     15,                0.35503,                0.33247,                0.86051,                0.95582,                0.97137,                0.98559,                0.94618,                0.32686,                0.27916,                0.85059,             0.00093385,             0.00093385,             0.00093385
                     16,                0.35908,                0.32047,                0.86127,                0.96845,                0.95979,                0.98006,                0.95194,                0.29346,                0.26892,                0.84081,             0.00089848,             0.00089848,             0.00089848
                     17,                0.34806,                0.31539,                0.86079,                0.96866,                0.97965,                 0.9872,                 0.9599,                0.28356,                0.23824,                0.83811,             0.00086312,             0.00086312,             0.00086312
                     18,                0.34545,                0.30811,                0.85739,                0.96511,                0.96789,                0.98991,                0.95946,                0.29025,                0.24257,                0.84047,             0.00082775,             0.00082775,             0.00082775
                     19,                0.34286,                0.30238,                0.85716,                0.98011,                0.97117,                0.99174,                0.96117,                0.29085,                0.21684,                0.84029,             0.00079238,             0.00079238,             0.00079238
                     20,                0.33969,                0.29137,                0.85523,                0.97045,                0.98197,                0.98872,                0.95807,                0.28812,                0.23083,                0.83734,             0.00075701,             0.00075701,             0.00075701
                     21,                0.33962,                0.29408,                0.85457,                0.97444,                 0.9809,                0.99189,                0.95945,                0.29211,                0.22314,                0.83667,             0.00072164,             0.00072164,             0.00072164
                     22,                0.33544,                0.29113,                0.85446,                0.98028,                0.97921,                0.99067,                0.95916,                0.28272,                0.21031,                0.83869,             0.00068628,             0.00068628,             0.00068628
                     23,                0.33189,                0.28415,                0.85501,                0.97385,                 0.9792,                0.99053,                0.96112,                 0.2855,                0.21924,                0.83874,             0.00065091,             0.00065091,             0.00065091
                     24,                0.32809,                0.27574,                0.85469,                0.96846,                0.98586,                0.99166,                 0.9658,                0.28593,                0.20457,                0.83958,             0.00061554,             0.00061554,             0.00061554
                     25,                0.32501,                0.27119,                0.85155,                0.97831,                0.97501,                0.98971,                0.95969,                0.28465,                0.20872,                0.83685,             0.00058017,             0.00058017,             0.00058017
                     26,                0.32734,                0.26831,                0.85313,                0.97309,                0.97746,                0.99112,                 0.9649,                0.27503,                0.20361,                0.83587,             0.00054481,             0.00054481,             0.00054481
                     27,                0.32414,                0.26049,                0.85311,                0.96702,                0.98274,                0.99134,                0.96262,                0.27712,                 0.2134,                0.83258,             0.00050944,             0.00050944,             0.00050944
                     28,                0.32533,                0.26427,                0.85429,                0.97509,                0.97603,                0.99067,                0.96412,                0.27507,                0.20201,                0.83307,             0.00047407,             0.00047407,             0.00047407
                     29,                0.31849,                0.25606,                0.85167,                0.97578,                0.97406,                0.99029,                0.96413,                0.28094,                0.21096,                0.83565,              0.0004387,              0.0004387,              0.0004387
                     30,                0.31792,                0.25291,                0.85253,                0.98003,                 0.9773,                0.98746,                0.96122,                0.28094,                0.20226,                0.83385,             0.00040334,             0.00040334,             0.00040334
                     31,                0.26124,                0.19639,                0.81682,                0.98149,                0.97746,                0.99129,                0.97008,                0.27484,                0.20458,                0.83601,             0.00036797,             0.00036797,             0.00036797
                     32,                0.26256,                0.19573,                0.81553,                0.98001,                0.97162,                 0.9916,                0.96522,                0.26772,                0.20039,                0.83299,              0.0003326,              0.0003326,              0.0003326
                     33,                0.25659,                0.18813,                0.81476,                0.97706,                0.97666,                0.98628,                 0.9604,                 0.2752,                0.20641,                0.83557,             0.00029723,             0.00029723,             0.00029723
                     34,                 0.2536,                0.18544,                0.81285,                0.97462,                0.97209,                0.99148,                0.96705,                 0.2693,                0.21256,                0.83132,             0.00026186,             0.00026186,             0.00026186
                     35,                0.24789,                0.17615,                0.81413,                0.97128,                  0.988,                 0.9913,                0.96526,                 0.2621,                0.18762,                0.83111,              0.0002265,              0.0002265,              0.0002265
                     36,                0.24483,                0.17131,                0.80959,                0.97421,                0.98145,                0.99145,                0.96724,                 0.2622,                0.18932,                0.83094,             0.00019113,             0.00019113,             0.00019113
                     37,                0.24045,                0.16477,                0.80875,                0.97894,                 0.9841,                0.99055,                0.96615,                0.26286,                0.18183,                0.82953,             0.00015576,             0.00015576,             0.00015576
                     38,                0.23593,                0.15909,                0.80921,                0.97757,                0.98081,                 0.9892,                 0.9662,                0.25851,                0.18188,                 0.8304,             0.00012039,             0.00012039,             0.00012039
                     39,                0.23382,                0.15542,                0.80705,                0.97866,                0.98467,                0.99003,                0.96606,                0.25832,                0.18267,                0.83043,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     40,                0.22969,                0.15014,                0.80839,                0.97133,                0.98611,                0.99081,                0.96863,                0.25758,                0.18159,                0.82992,             4.9658e-05,             4.9658e-05,             4.9658e-05
